307
11
562102719
1747605739
 0 1 1 15 19  4 (D 0,1,1) (S 21,6,8) (S 3,8,8) (D 0,1,1)
 0 1 2 16 22  4 (D 0,1,1) (S 17,5,10) (S 5,10,10) (D 0,1,1)
 0 1 3 16 23  5 (D 0,1,1) (S 34,1,2) (S 37,2,8) (S 23,2,5) (D 0,1,1)
 0 1 4 19 24  4 (D 0,1,1) (S 18,5,7) (S 4,3,3) (D 0,1,1)
 0 1 5 17 26  4 (D 0,1,1) (S 16,3,9) (S 25,4,6) (D 0,1,1)
 0 1 6 22 29  4 (D 0,1,1) (S 2,4,4) (S 20,4,11) (D 0,1,1)
 0 1 7 14 26  6 (D 0,1,1) (S 13,7,6) (S 6,6,6) (S 28,6,9) (S 19,9,11) (D 0,1,1)
 0 1 8 19 27  5 (D 0,1,1) (S 32,1,11) (S 10,11,7) (S 36,3,11) (D 0,1,1)
 0 1 9 19 29  5 (D 0,1,1) (S 33,1,4) (S 24,4,5) (S 22,5,11) (D 0,1,1)
 0 1 10 22 38  10 (D 0,1,1) (S 11,1,7) (S 26,2,11) (S 9,7,9) (S 1,2,2) (S 30,2,3) (S 29,3,5) (S 7,5,5) (S 27,5,8) (D 0,1,1)
 0 1 11 26 44  8 (D 0,1,1) (S 31,1,9) (S 35,4,9) (S 8,9,10) (S 14,1,3) (S 12,10,7) (S 15,2,4) (D 0,1,1)
