68361
29
910899250
1747958479
 0 1 1 1755 2623  9 (D 0,1,1) (S 63,75,87) (S 47,113,113) (S 185,113,126) (S 123,124,111) (S 167,110,123) (S 34,121,121) (S 178,107,94) (D 0,1,1)
 0 1 2 1755 2759  11 (D 0,1,1) (S 79,75,63) (S 143,63,62) (S 188,98,111) (S 4,111,111) (S 199,111,112) (S 75,112,99) (S 189,99,98) (S 136,97,96) (S 141,72,71) (D 0,1,1)
 0 1 3 1746 2701  9 (D 0,1,1) (S 206,109,110) (S 29,110,110) (S 68,110,111) (S 20,99,99) (S 91,99,100) (S 24,124,124) (S 211,105,92) (D 0,1,1)
 0 1 4 1707 2450  10 (D 0,1,1) (S 53,34,34) (S 124,34,42) (S 41,42,42) (S 134,53,63) (S 13,53,53) (S 82,53,52) (S 153,52,41) (S 179,40,32) (D 0,1,1)
 0 1 5 1696 2493  10 (D 0,1,1) (S 183,104,105) (S 52,105,105) (S 131,119,106) (S 38,106,106) (S 93,105,104) (S 19,90,90) (S 86,90,91) (S 56,2,2) (D 0,1,1)
 0 1 6 1692 2762  11 (D 0,1,1) (S 64,11,33) (S 172,85,98) (S 204,98,99) (S 129,99,86) (S 158,98,97) (S 138,97,110) (S 18,122,122) (S 95,121,108) (S 171,94,107) (D 0,1,1)
 0 1 7 1711 2343  8 (D 0,1,1) (S 28,118,118) (S 60,119,119) (S 5,120,120) (S 182,120,107) (S 61,107,107) (S 46,92,92) (D 0,1,1)
 0 1 8 1644 2349  8 (D 0,1,1) (S 51,89,89) (S 128,89,102) (S 23,102,102) (S 132,102,101) (S 43,88,88) (S 147,65,66) (D 0,1,1)
 0 1 9 1745 2310  10 (D 0,1,1) (S 94,50,51) (S 114,52,62) (S 45,75,75) (S 173,87,86) (S 14,86,86) (S 137,85,84) (S 139,73,61) (S 120,61,60) (D 0,1,1)
 0 1 10 1664 2390  9 (D 0,1,1) (S 90,11,12) (S 6,12,12) (S 97,12,11) (S 99,33,32) (S 166,40,51) (S 142,49,39) (S 74,39,38) (D 0,1,1)
 0 1 11 1699 2138  6 (D 0,1,1) (S 59,48,48) (S 7,49,49) (S 9,39,39) (S 96,39,29) (D 0,1,1)
 0 1 12 1548 2339  10 (D 0,1,1) (S 92,48,59) (S 201,59,69) (S 12,69,69) (S 62,82,95) (S 187,95,94) (S 209,81,70) (S 125,69,59) (S 194,59,68) (D 0,1,1)
 0 1 13 1680 1907  10 (D 0,1,1) (S 15,103,103) (S 162,103,102) (S 184,102,115) (S 25,115,115) (S 192,115,102) (S 58,114,114) (S 140,88,76) (S 117,55,44) (D 0,1,1)
 0 1 14 1609 2147  11 (D 0,1,1) (S 66,57,67) (S 126,104,117) (S 54,117,117) (S 110,117,116) (S 109,116,103) (S 65,103,104) (S 76,104,91) (S 72,80,69) (S 88,69,68) (D 0,1,1)
 0 1 15 1735 2282  9 (D 0,1,1) (S 155,7,8) (S 8,62,62) (S 118,62,74) (S 203,74,62) (S 105,62,61) (S 11,61,61) (S 196,60,50) (D 0,1,1)
 0 1 16 1714 2366  8 (D 0,1,1) (S 37,20,20) (S 186,20,8) (S 98,10,11) (S 49,33,33) (S 78,32,31) (S 112,31,20) (D 0,1,1)
 0 1 17 1724 2533  11 (D 0,1,1) (S 198,71,82) (S 17,84,84) (S 104,84,73) (S 3,73,73) (S 205,73,72) (S 157,71,70) (S 169,58,57) (S 30,57,57) (S 210,57,46) (D 0,1,1)
 0 1 18 1534 2177  7 (D 0,1,1) (S 26,70,70) (S 22,82,82) (S 106,83,72) (S 36,72,72) (S 176,47,38) (D 0,1,1)
 0 1 19 1611 2137  8 (D 0,1,1) (S 77,47,48) (S 181,48,49) (S 168,49,59) (S 16,59,59) (S 50,47,47) (S 85,47,37) (D 0,1,1)
 0 1 20 1752 1890  8 (D 0,1,1) (S 35,46,46) (S 55,68,68) (S 121,68,79) (S 133,93,106) (S 130,106,93) (S 57,93,93) (D 0,1,1)
 0 1 21 1670 2511  10 (D 0,1,1) (S 148,19,7) (S 190,60,72) (S 21,71,71) (S 69,96,109) (S 39,109,109) (S 67,109,122) (S 191,121,120) (S 170,107,106) (D 0,1,1)
 0 1 22 1575 1910  8 (D 0,1,1) (S 71,64,65) (S 48,65,65) (S 115,65,55) (S 2,54,54) (S 208,54,43) (S 107,45,36) (D 0,1,1)
 0 1 23 1652 1963  8 (D 0,1,1) (S 144,43,44) (S 103,46,57) (S 73,57,56) (S 202,56,66) (S 195,66,67) (S 87,46,45) (D 0,1,1)
 0 1 24 1547 1781  6 (D 0,1,1) (S 33,31,31) (S 70,22,32) (S 116,31,30) (S 111,28,27) (D 0,1,1)
 0 1 25 1706 1029  5 (D 0,1,1) (S 40,29,29) (S 81,16,4) (S 163,4,16) (D 0,1,1)
 0 1 26 1570 1180  5 (D 0,1,1) (S 27,23,23) (S 212,23,24) (S 31,24,24) (D 0,1,1)
 0 1 27 1705 2019  8 (D 0,1,1) (S 101,2,14) (S 165,24,25) (S 146,25,26) (S 1,26,26) (S 32,37,37) (S 84,37,36) (D 0,1,1)
 0 1 28 1619 1948  8 (D 0,1,1) (S 122,1,2) (S 10,3,3) (S 164,17,27) (S 44,27,27) (S 135,27,38) (S 89,37,25) (D 0,1,1)
 0 1 29 1607 2092  9 (D 0,1,1) (S 113,17,5) (S 156,5,6) (S 42,7,7) (S 102,7,20) (S 180,20,30) (S 83,15,14) (S 100,14,13) (D 0,1,1)
